"idpersona","idmatriculacion","carrera_siglas","cohorte","cohorte_anio","fechainicio","fechafin","estado"
"9712","11388","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Abandonó"
"9728","11401","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Aprobado"
"9778","11467","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Aprobado"
"4302","11567","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Abandonó"
"4736","11577","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Abandonó"
"6919","11593","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Aprobado"
"9832","11595","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Abandonó"
"4567","11632","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Reprobado"
"9908","11677","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Aprobado"
"9911","11685","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Abandonó"
"10002","11835","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Aprobado"
"10090","11951","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Abandonó"
"10105","11967","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Aprobado"
"10106","11970","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Reprobado"
"10117","11993","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Aprobado"
"10122","11996","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Abandonó"
"9960","12001","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Aprobado"
"10127","12003","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Reprobado"
"10156","12035","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Aprobado"
"10180","12060","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Reprobado"
"10179","12062","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Abandonó"
"10196","12087","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Abandonó"
"10206","12099","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Abandonó"
"10241","12141","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Aprobado"
"10253","12156","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Abandonó"
"10257","12170","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Abandonó"
"10271","12187","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Reprobado"
"9938","12208","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Aprobado"
"10287","12219","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Reprobado"
"10288","12220","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Reprobado"
"10293","12223","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Aprobado"
"10299","12231","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Reprobado"
"8787","12232","SEMINARIOSARMIENTO","Agosto 2017","2017","2017-08-23","2017-11-08","Aprobado"
