"anio","departamento","provincia","total"
"2016",NULL,NULL,"1"
"2018",NULL,NULL,"1"
"2019",NULL,NULL,"1"
"2020",NULL,NULL,"3"
"2021",NULL,NULL,"30"
"2020","9 De Julio","Chaco","1"
"2023","9 De Julio","Chaco","1"
"2020","Almirante Brown","Buenos Aires","1"
"2021","Almirante Brown","Buenos Aires","1"
"2022","Almirante Brown","Buenos Aires","2"
"2023","Almirante Brown","Buenos Aires","1"
"2020","Banda","Santiago del Estero","1"
"2022","Banda","Santiago del Estero","1"
"2023","Banda","Santiago del Estero","1"
"2018","Belgrano","Santa Fe","1"
"2022","Belgrano","Santa Fe","2"
"2016","Calamuchita","Córdoba","9"
"2017","Calamuchita","Córdoba","24"
"2018","Calamuchita","Córdoba","41"
"2019","Calamuchita","Cordoba","35"
"2020","Calamuchita","Córdoba","61"
"2021","Calamuchita","Cordoba","65"
"2022","Calamuchita","Córdoba","51"
"2023","Calamuchita","Cordoba","21"
"2021","Capital","Catamarca","1"
"2016","Capital","Córdoba","286"
"2017","Capital","Córdoba","705"
"2018","Capital","Cordoba","779"
"2019","Capital","Cordoba","830"
"2020","Capital","Córdoba","1287"
"2021","Capital","Córdoba","1184"
"2022","Capital","Córdoba","999"
"2023","Capital","Córdoba","630"
"2018","Capital","Jujuy","1"
"2022","Capital","Jujuy","1"
"2023","Capital","Jujuy","2"
"2018","Capital","La Rioja","1"
"2020","Capital","Misiones","1"
"2022","Capital","Misiones","1"
"2023","Capital","Misiones","1"
"2016","Capital","Salta","1"
"2023","Capital","Salta","2"
"2020","Capital","San Juan","1"
"2020","Capital","Santiago del Estero","2"
"2022","Capital","Santiago del Estero","1"
"2023","Capital","Santiago del Estero","2"
"2018","Capital","Tucumán","1"
"2020","Capital","Tucumán","1"
"2022","Carmen De Areco","Buenos Aires","1"
"2016","Caseros","Santa Fe","1"
"2017","Caseros","Santa Fe","1"
"2018","Caseros","Santa Fe","1"
"2019","Caseros","Santa Fe","2"
"2020","Caseros","Santa Fe","2"
"2021","Caseros","Santa Fe","4"
"2022","Caseros","Santa Fe","1"
"2023","Caseros","Santa Fe","2"
"2017","Castellanos","Santa Fe","1"
"2018","Castellanos","Santa Fe","3"
"2019","Castellanos","Santa Fe","4"
"2020","Castellanos","Santa Fe","9"
"2021","Castellanos","Santa Fe","5"
"2022","Castellanos","Santa Fe","4"
"2023","Castellanos","Santa Fe","1"
