"departamento","provincia","total"
"Capital","Cordoba","4308"
"Rio Cuarto","Cordoba","971"
"San Justo","Córdoba","937"
"Colón","Córdoba","778"
"Punilla","Cordoba","623"
"Tercero Arriba","Córdoba","467"
"Union","Cordoba","467"
"Santa María","Córdoba","464"
"General San Martín","Córdoba","422"
"Rio Segundo","Cordoba","363"
"Marcos Juárez","Córdoba","346"
"Cruz del Eje","Córdoba","305"
"San Javier","Córdoba","296"
"Calamuchita","Córdoba","230"
"Ischilín","Córdoba","202"
"San Alberto","Córdoba","189"
"Juárez Celman","Córdoba","188"
"Pte. Roque Saenz Peña","Cordoba","177"
"Rio Primero","Cordoba","158"
"Presidente Roque Sáenz Peña","Córdoba","143"
"General Roca","Córdoba","87"
"Totoral","Córdoba","64"
"Tulumba","Cordoba","40"
NULL,NULL,"34"
"Río Seco","Córdoba","33"
"Minas","Cordoba","22"
"Pocho","Córdoba","21"
"Castellanos","Santa Fe","15"
"Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires","13"
"Sobremonte","Córdoba","9"
"Caseros","Santa Fe","9"
"San Cristobal","Santa Fe","5"
"San Fernando","Chaco","4"
"Rosario","Santa Fe","4"
"San Martin","Santa Fe","4"
"Capital","Jujuy","3"
"Junin","San Luis","3"
"Belgrano","Santa Fe","3"
"Capital","Santiago del Estero","3"
"Quilmes","Buenos Aires","3"
"La Matanza","Buenos Aires","2"
"Escalante","Chubut","2"
"Confluencia","Neuquén","2"
"Parana","Entre Ríos","2"
"Almirante Brown","Buenos Aires","2"
"Mayor Luis J.fontana","Chaco","2"
"General Pedernera","San Luis","2"
"Capital","Tucumán","2"
"General Lopez","Santa Fe","2"
"Capital","San Juan","1"
"Quebrachos","Santiago del Estero","1"
"General Belgrano","La Rioja","1"
"Capital","Salta","1"
"San Javier","Santa Fe","1"
"La Capital","Santa Fe","1"
"Capital","La Rioja","1"
"Diamante","Entre Ríos","1"
"La Capital","San Luis","1"
"Pilar","Buenos Aires","1"
"Colon","Buenos Aires","1"
"Iriondo","Santa Fe","1"
"Toay","La Pampa","1"
"Olavarria","Buenos Aires","1"
"Guer Aike","Santa Cruz","1"
"Ojo De Agua","Santiago del Estero","1"
"Choya","Santiago del Estero","1"
"Grl.jose De San Martin","Salta","1"
"Tandil","Buenos Aires","1"
"Moron","Buenos Aires","1"
"Chilecito","La Rioja","1"
"Godoy Cruz","Mendoza","1"
"Chacabuco","San Luis","1"
"Rio Grande","Tierra del Fuego","1"
"General Sarmiento","Buenos Aires","1"
"Sin Asignar","Cordoba","1"
"Mercedes","Buenos Aires","1"
"Rio Chico","Tucumán","1"
"Vicente Lopez","Buenos Aires","1"
"San Rafael","Mendoza","1"
"Carmen De Areco","Buenos Aires","1"
"Realico","La Pampa","1"
"San Pedro","Jujuy","1"
"Rawson","Chubut","1"
"Lomas De Zamora","Buenos Aires","1"
"General Guemes","Salta","1"
"San Justo","Santa Fe","1"
"Lanus","Buenos Aires","1"
