"departamento","provincia","total"
"Capital","Cordoba","4292"
"Rio Cuarto","Cordoba","975"
"San Justo","Córdoba","937"
"Colón","Córdoba","790"
"Punilla","Cordoba","637"
"Santa María","Córdoba","471"
"Union","Cordoba","466"
"Tercero Arriba","Cordoba","466"
"General San Martín","Córdoba","433"
"Rio Segundo","Cordoba","362"
"Marcos Juárez","Córdoba","347"
"Cruz del Eje","Córdoba","320"
"San Javier","Córdoba","296"
"Calamuchita","Córdoba","237"
"Presidente Roque Sáenz Peña","Córdoba","231"
"Ischilín","Córdoba","215"
"San Alberto","Cordoba","196"
"Juárez Celman","Córdoba","187"
"Rio Primero","Cordoba","161"
"Pte. Roque Saenz Peña","Cordoba","88"
"General Roca","Córdoba","87"
"Totoral","Córdoba","64"
"Tulumba","Cordoba","44"
"Río Seco","Córdoba","35"
NULL,NULL,"30"
"Minas","Cordoba","23"
"Pocho","Córdoba","22"
"Castellanos","Santa Fe","15"
"Sobremonte","Córdoba","9"
"Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires","8"
"Caseros","Santa Fe","8"
"San Cristobal","Santa Fe","6"
"San Fernando","Chaco","4"
"Belgrano","Santa Fe","3"
"San Martin","Santa Fe","3"
"Junin","San Luis","3"
"Rosario","Santa Fe","3"
"Confluencia","Neuquén","2"
"Parana","Entre Ríos","2"
"Capital","Tucumán","2"
"General Pedernera","San Luis","2"
"General Lopez","Santa Fe","2"
"Sin Asignar","Cordoba","1"
"Lomas De Zamora","Buenos Aires","1"
"Realico","La Pampa","1"
"General Belgrano","La Rioja","1"
"Lanus","Buenos Aires","1"
"Almirante Brown","Buenos Aires","1"
"Quilmes","Buenos Aires","1"
"Diamante","Entre Ríos","1"
"La Matanza","Buenos Aires","1"
"Quebrachos","Santiago del Estero","1"
"San Justo","Santa Fe","1"
"La Capital","Santa Fe","1"
"La Capital","San Luis","1"
"Chilecito","La Rioja","1"
"Pilar","Buenos Aires","1"
"Chacabuco","San Luis","1"
"Iriondo","Santa Fe","1"
"Guer Aike","Santa Cruz","1"
"Olavarria","Buenos Aires","1"
"Grl.jose De San Martin","Salta","1"
"Ojo De Agua","Santiago del Estero","1"
"Godoy Cruz","Mendoza","1"
"Moron","Buenos Aires","1"
"Capital","Santiago del Estero","1"
"Toay","La Pampa","1"
"Capital","La Rioja","1"
"Mercedes","Buenos Aires","1"
"Capital","Jujuy","1"
"Rio Grande","Tierra del Fuego","1"
"Tandil","Buenos Aires","1"
"Mayor Luis J.fontana","Chaco","1"
"Rio Chico","Tucumán","1"
