idcarrera,idcohorte,linea_formativa,propuesta,carrera,carrera_siglas,tipo,cohorte,cohorte_anio,anio,idsede,ifda,ifda_siglas,departamento,iddepartamento,inscriptos,matriculados_aceptados,aprobados_mi,inician_cursada_seminario,cursantes_t3,cursando_hoy,egresados_intermedio,egresados,aprobados_1er_uc,tiene_egresados,tiene_egresados_inter,vigencia_prop,activos_RAI,aprobados_sem
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2021,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,NULL,NULL,NULL,0,0,0,0,0,0,1,0,No,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2022,5,"Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""",INESCER,General San Martín,5,NULL,NULL,NULL,0,1,0,0,1,0,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2020,5,"Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""",INESCER,General San Martín,5,NULL,NULL,NULL,0,0,0,0,0,0,1,0,No,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2019,5,"Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""",INESCER,General San Martín,5,NULL,NULL,NULL,0,1,0,0,0,0,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2018,5,"Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""",INESCER,General San Martín,5,NULL,NULL,NULL,0,2,0,0,1,0,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2016,2,Instituto Superior Dr. Carlos María Carena,CARENA,San Alberto,17,3,NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2022,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,NULL,NULL,NULL,0,1,0,0,0,0,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2016,6,Instituto Superior Dr. Bernardo Houssay,HOUSSAY,Punilla,12,10,NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2020,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,NULL,NULL,NULL,0,0,0,0,0,0,1,0,No,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2017,5,"Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""",INESCER,General San Martín,5,NULL,NULL,NULL,0,9,0,0,6,0,1,0,Si,NULL,NULL
