"departamento","provincia","total"
"Capital","Cordoba","1692"
"Rio Cuarto","Cordoba","551"
"Cruz Del Eje","Cordoba","399"
"San Justo","Cordoba","392"
"Colon","Cordoba","333"
"Punilla","Cordoba","316"
"Union","Cordoba","247"
"Santa Maria","Cordoba","243"
"Ischilin","Cordoba","238"
"General San Martin","Cordoba","229"
"Tercero Arriba","Cordoba","212"
"Rio Segundo","Cordoba","210"
"Marcos Juarez","Cordoba","172"
"Juarez Celman","Cordoba","147"
"San Javier","Cordoba","141"
"Presidente Roque Saenz Peña","Cordoba","140"
"San Alberto","Cordoba","115"
"Calamuchita","Cordoba","92"
"Rio Primero","Cordoba","92"
"Rio Seco","Cordoba","64"
"General Roca","Cordoba","48"
"Totoral","Cordoba","43"
"Tulumba","Cordoba","37"
"Minas","Cordoba","32"
"Pocho","Cordoba","21"
"Sobremonte","Cordoba","20"
"Castellanos","Santa Fe","7"
"Pte. Roque Saenz Peña","Cordoba","6"
"Caseros","Santa Fe","4"
"Ojo De Agua","Santiago Del Estero","3"
,,"3"
NULL,NULL,"3"
"San Martin","Santa Fe","2"
"Capital","Santiago Del Estero","1"
"Capital","La Rioja","1"
"Belgrano","Santa Fe","1"
"Lomas De Zamora","Buenos Aires","1"
"Banda","Santiago Del Estero","1"
"Las Colonias","Santa Fe","1"
"San Cristobal","Santa Fe","1"
"Juan Martin De Pueyrredon","San Luis","1"
"Rosario","Santa Fe","1"
"General Lopez","Santa Fe","1"
