"departamento","provincia","total"
"Capital","Córdoba","1731"
"Río Cuarto","Córdoba","435"
"San Justo","Cordoba","340"
"Colón","Córdoba","314"
"Punilla","Cordoba","249"
"Union","Cordoba","205"
"Santa María","Córdoba","193"
"Marcos Juarez","Córdoba","171"
"Tercero Arriba","Córdoba","165"
"Cruz del Eje","Córdoba","164"
"Rio Segundo","Cordoba","162"
"San Javier","Córdoba","159"
"General San Martin","Cordoba","132"
"San Alberto","Cordoba","100"
"Calamuchita","Córdoba","100"
"Pte. Roque Saenz Peña","Cordoba","92"
"Ischilín","Córdoba","90"
"Juarez Celman","Cordoba","79"
"Río Primero","Córdoba","76"
"Presidente Roque Sáenz Peña","Córdoba","70"
"General Roca","Cordoba","66"
"Río Seco","Córdoba","35"
"Tulumba","Cordoba","28"
"Pocho","Córdoba","23"
"Totoral","Cordoba","22"
"Minas","Córdoba","15"
"Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires","7"
"Sobremonte","Cordoba","7"
"Caseros","Santa Fe","7"
"Castellanos","Santa Fe","6"
"Escalante","Chubut","2"
"San Cristobal","Santa Fe","2"
"Capital","Salta","2"
"Rosario","Santa Fe","2"
"Choya","Santiago del Estero","2"
"General Las Heras","Buenos Aires","1"
"Pergamino","Buenos Aires","1"
"Capital","Santiago del Estero","1"
"Ojo De Agua","Santiago del Estero","1"
"Capital","Santa Fe","1"
"San Fernando","Chaco","1"
"Echeverria","Buenos Aires","1"
"Capital","San Juan","1"
"Diamante","Entre Ríos","1"
"Merlo","Buenos Aires","1"
"San Antonio","Rio Negro","1"
"Deseado","Santa Cruz","1"
"Mercedes","Buenos Aires","1"
"Capital","Misiones","1"
"Capital","La Rioja","1"
"Lomas De Zamora","Buenos Aires","1"
"Capital","Jujuy","1"
"Las Colonias","Santa Fe","1"
"Colon","Buenos Aires","1"
"La Paz","Catamarca","1"
"La Matanza","Buenos Aires","1"
"Belgrano","Santa Fe","1"
"La Capital","San Luis","1"
"Almirante Brown","Buenos Aires","1"
"Rawson","Chubut","1"
"Chilecito","La Rioja","1"
"Santa Barbara","Jujuy","1"
"Quebrachos","Santiago del Estero","1"
"Itati","Corrientes","1"
"Castelanos","Santa Fe","1"
"San Pedro","Jujuy","1"
"San Martin","Santa Fe","1"
"Carmen De Areco","Buenos Aires","1"
"San Justo","Santa Fe","1"
"Capital","Tucumán","1"
