"departamento","provincia","total"
"Capital","Cordoba","1732"
"Rio Cuarto","Cordoba","435"
"San Justo","Cordoba","340"
"Colón","Córdoba","314"
"Punilla","Cordoba","252"
"Union","Cordoba","205"
"Santa María","Córdoba","193"
"Marcos Juarez","Cordoba","170"
"Tercero Arriba","Cordoba","167"
"Cruz Del Eje","Cordoba","166"
"San Javier","Cordoba","161"
"Rio Segundo","Cordoba","160"
"General San Martin","Cordoba","132"
"Calamuchita","Cordoba","104"
"Pte. Roque Saenz Peña","Córdoba","104"
"San Alberto","Cordoba","100"
"Ischilin","Cordoba","94"
"Juárez Celman","Córdoba","80"
"Río Primero","Córdoba","76"
"General Roca","Córdoba","66"
"Presidente Roque Sáenz Peña","Córdoba","59"
"Rio Seco","Cordoba","36"
"Tulumba","Cordoba","30"
"Pocho","Cordoba","24"
"Totoral","Córdoba","22"
"Minas","Cordoba","15"
"Castellanos","Santa Fe","7"
"Caseros","Santa Fe","7"
"Sobremonte","Cordoba","6"
"Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires","5"
"Choya","Santiago del Estero","2"
"Escalante","Chubut","2"
"San Cristobal","Santa Fe","2"
"Colon","Buenos Aires","1"
"Lomas De Zamora","Buenos Aires","1"
"Rosario","Santa Fe","1"
"Las Colonias","Santa Fe","1"
"Belgrano","Santa Fe","1"
"La Paz","Catamarca","1"
"Almirante Brown","Buenos Aires","1"
"Chilecito","La Rioja","1"
"La Matanza","Buenos Aires","1"
"La Capital","San Luis","1"
"Castelanos","Santa Fe","1"
"Rawson","Chubut","1"
"Juan Martin De Pueyrredon","San Luis","1"
"Quebrachos","Santiago del Estero","1"
"Carmen De Areco","Buenos Aires","1"
"San Pedro","Jujuy","1"
"Capital","Tucumán","1"
"San Martin","Santa Fe","1"
"Capital","Santiago del Estero","1"
"San Justo","Santa Fe","1"
"General Las Heras","Buenos Aires","1"
"Capital","Santa Fe","1"
"Ojo De Agua","Santiago del Estero","1"
"Capital","San Juan","1"
"Diamante","Entre Ríos","1"
"Capital","Salta","1"
"Deseado","Santa Cruz","1"
"Merlo","Buenos Aires","1"
"Capital","La Rioja","1"
"Mercedes","Buenos Aires","1"
"Capital","Jujuy","1"
"San Antonio","Rio Negro","1"
