"departamento","provincia","total"
"Capital","Córdoba","8774"
"Río Cuarto","Córdoba","1980"
"San Justo","Córdoba","1886"
"Colón","Córdoba","1530"
"Punilla","Cordoba","1319"
"Unión","Córdoba","1085"
"Santa María","Córdoba","928"
"General San Martín","Córdoba","905"
"Tercero Arriba","Córdoba","887"
"Río Segundo","Córdoba","725"
"Marcos Juárez","Córdoba","720"
"Cruz Del Eje","Cordoba","682"
"Presidente Roque Sáenz Peña","Córdoba","678"
"San Javier","Cordoba","622"
"Ischilín","Córdoba","469"
"San Alberto","Córdoba","441"
"Calamuchita","Córdoba","426"
"Juarez Celman","Cordoba","378"
"Río Primero","Córdoba","303"
"General Roca","Córdoba","170"
"Totoral","Cordoba","134"
"Pte. Roque Saenz Peña","Cordoba","125"
"Tulumba","Cordoba","100"
"Río Seco","Córdoba","96"
"Minas","Cordoba","62"
"Pocho","Cordoba","49"
"Castellanos","Santa Fe","37"
"Sobremonte","Cordoba","35"
NULL,NULL,"33"
"Caseros","Santa Fe","23"
"Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires","17"
"San Cristobal","Santa Fe","8"
"Junin","San Luis","6"
"Rosario","Santa Fe","5"
"General Lopez","Santa Fe","4"
"Lomas De Zamora","Buenos Aires","4"
"Confluencia","Neuquén","4"
"San Martin","Santa Fe","4"
"San Fernando","Chaco","4"
"Ojo De Agua","Santiago Del Estero","3"
"Belgrano","Santa Fe","3"
"Almirante Brown","Buenos Aires","2"
"La Matanza","Buenos Aires","2"
"Realico","La Pampa","2"
"Chacabuco","San Luis","2"
"San Justo","Santa Fe","2"
"Pilar","Buenos Aires","2"
"Capital","Tucumán","2"
"Parana","Entre Ríos","2"
"Capital","Santiago del Estero","2"
"Godoy Cruz","Mendoza","2"
"General Pedernera","San Luis","2"
"Mayor Luis J.fontana","Chaco","1"
"Banda","Santiago Del Estero","1"
"Rio Grande","Tierra del Fuego","1"
"General Belgrano","La Rioja","1"
"Toay","La Pampa","1"
"Diamante","Entre Ríos","1"
"Lanus","Buenos Aires","1"
"Rio Chico","Tucumán","1"
"Tandil","Buenos Aires","1"
"La Capital","Santa Fe","1"
"Quilmes","Buenos Aires","1"
"La Capital","San Luis","1"
"Iriondo","Santa Fe","1"
"Grl.jose De San Martin","Salta","1"
"Olavarria","Buenos Aires","1"
"Capital","La Rioja","1"
"Mercedes","Buenos Aires","1"
