"departamento","provincia","total"
"Capital","Córdoba","4394"
"Río Cuarto","Córdoba","1043"
"San Justo","Córdoba","977"
"Colón","Córdoba","849"
"Punilla","Cordoba","683"
"Unión","Córdoba","508"
"Tercero Arriba","Córdoba","502"
"Santa María","Córdoba","493"
"General San Martín","Córdoba","453"
"Río Segundo","Córdoba","409"
"Marcos Juárez","Córdoba","363"
"Cruz Del Eje","Cordoba","342"
"San Javier","Cordoba","314"
"Presidente Roque Sáenz Peña","Córdoba","260"
"Calamuchita","Córdoba","243"
"Ischilín","Córdoba","226"
"Juarez Celman","Cordoba","214"
"San Alberto","Córdoba","203"
"Río Primero","Córdoba","175"
"General Roca","Córdoba","106"
"Pte. Roque Saenz Peña","Cordoba","68"
"Totoral","Cordoba","68"
"Río Seco","Córdoba","59"
"Tulumba","Cordoba","48"
"Minas","Cordoba","33"
NULL,NULL,"30"
"Pocho","Cordoba","25"
"Castellanos","Santa Fe","16"
"Sobremonte","Cordoba","13"
"Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires","8"
"Caseros","Santa Fe","8"
"San Cristobal","Santa Fe","7"
"San Fernando","Chaco","4"
"Rosario","Santa Fe","4"
"San Martin","Santa Fe","3"
"Junin","San Luis","3"
"Ojo De Agua","Santiago Del Estero","3"
"Belgrano","Santa Fe","3"
"Confluencia","Neuquén","2"
"Capital","Tucumán","2"
"Parana","Entre Ríos","2"
"General Pedernera","San Luis","2"
"General Lopez","Santa Fe","2"
"Rio Grande","Tierra del Fuego","1"
"General Belgrano","La Rioja","1"
"Toay","La Pampa","1"
"Almirante Brown","Buenos Aires","1"
"Diamante","Entre Ríos","1"
"Lomas De Zamora","Buenos Aires","1"
"Tandil","Buenos Aires","1"
"Lanus","Buenos Aires","1"
"Rio Chico","Tucumán","1"
"La Matanza","Buenos Aires","1"
"Realico","La Pampa","1"
"La Capital","Santa Fe","1"
"Quilmes","Buenos Aires","1"
"La Capital","San Luis","1"
"Chacabuco","San Luis","1"
"San Justo","Santa Fe","1"
"Iriondo","Santa Fe","1"
"Pilar","Buenos Aires","1"
"Capital","Santiago del Estero","1"
"Grl.jose De San Martin","Salta","1"
"Capital","La Rioja","1"
"Godoy Cruz","Mendoza","1"
"Olavarria","Buenos Aires","1"
"Mercedes","Buenos Aires","1"
"Mayor Luis J.fontana","Chaco","1"
"Banda","Santiago Del Estero","1"
