carrera,tipo,cohortes
Actualización Académica Acompañamiento a las Trayectorias Escolares en la Educación Secundaria,Postítulo,2019
Actualización Académica Acompañamiento de los Procesos de Inclusión desde la Educación Especial.,Postítulo,2022
Actualización Académica en Conducción y Gestión Educativa en la Educación Inicial,Postítulo,2021
Actualización Académica en Conducción y Gestión Educativa en la Educación Primaria,Postítulo,2021
Actualización Académica en Conducción y Gestión Educativa en la Educación Secundaria,Postítulo,2021
Actualización Académica en Conducción y Gestión Educativa en la Educación Superior,Postítulo,2021
Actualización Académica en Educación de Jóvenes y Adultos,Postítulo,2017
Actualización Académica en Educación Domiciliaria y Hospitalaria,Postítulo,2017
Actualización Académica en Educación Inicial,Postítulo,2021
Actualización Académica en la Enseñanza para la Educación Primaria,Postítulo,2021
Actualización Académica en Pedagogía y Cultura,Postítulo,2019
Actualización Académica Enseñar con Herramientas Digitales,Postítulo,2020
Actualización Académica Trayectorias Escolares y Enseñanza en el PIT,Postítulo,2020
"Ateneo de Ciencias Naturales - Educación Primaria: La Tierra, el universo y sus cambios. Mirando el cielo desde la tierra",Curso,2021
Ateneo Didáctico de Ciencias Sociales: Las sociedades y los espacios geográficos,Curso,2020
"Ateneo didáctico de lenguaje, lengua y literatura: Hablar, leer y escribir en la escuela",Curso,2021
Ateneo Didáctico de Matemática: Geometría y medida,Curso,2020
"Ciclo de lectura: “CLÁSICOS. Relatos pasados sobre cuestiones presentes""",Curso,2020
Ciclo de Seminarios: “Matemática y su enseñanza”  Seminario 1. Geometría,Curso,2022
"Ciclo de seminarios: “Matemática y su Enseñanza”  Seminario 2: “Racionales, fracciones y decimales”",Curso,2023
Ciclo de seminarios: “Matemática y su Enseñanza”  Seminario 3: “Números naturales y combinatoria”,Curso,2023
"Ciclo de talleres para equipos directivos y de supervisión ""La continuidad pedagógica 2020-2021: perspectivas y análisis de experiencias""",Curso,2021
"Ciclo Entre Colegas, pedagogía y cultura. Primer seminario 2016",Curso,2016
"Ciclo Entre Colegas. ""Borges a caballo, entre la tradición y la vanguardia""",Curso,2020
"Ciclo Entre Colegas. ""El Cordobazo en el intenso ahora de los años sesentas""",Curso,2019
"Ciclo Entre Colegas. ""Sarmiento y Ranciere: contrapuntos entre civilización y emancipación""",Curso,2018
Conversaciones sobre asuntos matemáticos,Curso,2020
Conversaciones sobre asuntos matemáticos II,Curso,2020
Diplomatura Superior en Conducción y Gestión Educativa en la Educación Inicial,Postítulo,2020
Diplomatura Superior en Conducción y Gestión Educativa en la Educación Primaria,Postítulo,2020
Diplomatura Superior en Conducción y Gestión Educativa en la Educación Secundaria,Postítulo,2020
Diplomatura Superior en Conducción y Gestión Educativa en la Educación Superior,Postítulo,2021
Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,Postítulo,2017
Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,Postítulo,2017
Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,Postítulo,2017
Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Superior,Postítulo,2017
Especialización Docente de Nivel Superior en Educación y Medios Digitales,Postítulo,2018
Especialización Docente de Nivel Superior en Enseñanza de la Programación en Informática,Postítulo,2016
Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Naturales en la Educación Primaria,Postítulo,2017
Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Sociales en la Educación Primaria,Postítulo,2017
Especialización Docente de Nivel Superior en la Enseñanza de Inglés en la Educación Primaria,Postítulo,2017
Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria,Postítulo,2017
Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria,Postítulo,2017
Especialización Docente de Nivel Superior en Tecnologías Digitales y Educación,Postítulo,2022
Formación Académica Enseñar con Herramientas Digitales,Formación académica,2020
Formación Pedagógica Acompañamiento a las Trayectorias Escolares en la Educación Secundaria,Formación académica,2019
Formación Pedagógica para la Educación Primaria,Formación académica,2018
Formación Pedagógica para la Educación Secundaria,Formación académica,2018
Formación Pedagógica para la Educación Técnica Superior,Formación académica,2018
Formación Pedagógica para la Formación Docente Superior para la Educación Inicial y Primaria,Formación académica,2018
Formación Pedagógica para la Formación Docente Superior para la Educación Secundaria,Formación académica,2018
Formación Pedagógica Trayectorias Escolares y Enseñanza en el PIT,Formación académica,2020
Primer Ateneo Didáctico de Inglés en jornada extendida - Educación primaria,Curso,2022
Profesorado de Educación Secundaria en Biología (en concurrencia con título de base),Profesorado,2018
Profesorado de Educación Secundaria en Física (en concurrencia con título de base),Profesorado,2018
Profesorado de Educación Secundaria en Geografía (en concurrencia con título de base),Profesorado,2018
Profesorado de Educación Secundaria en Historia (en concurrencia con título de base),Profesorado,2018
Profesorado de Educación Secundaria en Informática (en concurrencia con título de base),Profesorado,2018
Profesorado de Educación Secundaria en Lengua y Literatura (en concurrencia con título de base),Profesorado,2018
Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base),Profesorado,2018
Profesorado de Educación Secundaria en Química (en concurrencia con título de base),Profesorado,2018
Profesorado de Educación Superior en Biología,Profesorado,2018
Profesorado de Educación Superior en Física,Profesorado,2018
Profesorado de Educación Superior en Geografía,Profesorado,2018
Profesorado de Educación Superior en Historia,Profesorado,2018
Profesorado de Educación Superior en Lengua y Literatura,Profesorado,2018
Profesorado de Educación Superior en Matemática,Profesorado,2018
Profesorado de Educación Superior en Química,Profesorado,2018
Profesorado de Inglés (en concurrencia con título de base),Profesorado,2018
Programa Entre Lenguas Formación Docente: Inglés en el Plurigrado de la Educación Rural,Curso,2021
Programa Entre Lenguas Formación Docente: Inglés en el Plurigrado de la Educación Rural.  Segundo tramo,Curso,2022
Programa Entre Lenguas Formación Docente: Inglés en la Educación Especial,Curso,2021
Programa Entre Lenguas Formación Docente: Inglés en la Educación Especial. Segundo Tramo,Curso,2022
Segundo Ateneo Didáctico de Inglés en jornada extendida - Educación Primaria,Curso,2022
Seminario-Taller Introducción al Pensamiento Computacional y la programación en la educación,Curso,2021
"Seminario ""Conceptos y problemas relevantes para la enseñanza de las Ciencias Naturales""",Curso,2018
"Seminario ""Cuestiones del Currículum de Educación Primaria""",Curso,2020
"Seminario ""De sala en sala: fortalecer la educación de la primera infancia""",Curso,2018
"Seminario ""De sala en sala: fortalecer la educación de la primera infancia"" - Nivel 2",Curso,2019
"Seminario ""El Cordobazo: ciudad, acontecimiento y fiesta""",Curso,2019
"Seminario ""El Otro"": Nuestro Estudiante",Curso,2022
"Seminario ""Entre colegas: El Trabajo del Supervisor""",Curso,2019
"Seminario ""Entre los discursos sociales y los tipos textuales: Aportes para la enseñanza de la comprensión y la producción de textos""",Curso,2018
"Seminario ""Geometría y su Enseñanza en la Educación Primaria""",Curso,2018
"Seminario ""Innovación y Justicia Educativa para Supervisores""",Curso,2017
"Seminario ""La Datificación de la Experiencia""",Curso,2021
"Seminario ""La Enseñanza de la lengua y Literatura en la Educación Primaria""",Curso,2018
"Seminario ""La Enseñanza de la Matemática en la Educación Primaria""",Curso,2018
"Seminario ""La Enseñanza de las Ciencias Naturales en la Educación Primaria""",Curso,2018
"Seminario ""La Enseñanza de las Ciencias Sociales en la Educación Primaria""",Curso,2018
"Seminario ""La Escuela Primaria y los Medios Digitales""",Curso,2020
"Seminario ""La evolución de lo viviente: Darwin imprescindible""",Curso,2019
"Seminario ""La Exploración del Espacio y la Estatura del Hombre""",Curso,2017
"Seminario ""Las Sociedades a través del tiempo: Enseñar sobre las nociones de patria y nación en el período de construcción del estado nacional""",Curso,2018
"Seminario ""Maestros más maestros: fortalecer la enseñanza en la escuela primaria""",Curso,2019
"Seminario ""Memoria en Democracia de los Tiempos de Oscuridad""",Curso,2017
"Seminario ""Mentores: fortalecer el oficio docente, recibir a los 'nuevos'""",Curso,2018
"Seminario ""Mentores: fortalecer el oficio docente, recibir a los 'nuevos'"" - Nivel 2",Curso,2019
"Seminario ""Narrativas Hipermediales""",Curso,2020
"Seminario ""Pensamiento Computacional""",Curso,2020
"Seminario ""Plaza Cielo y Tierra"": otro espacio para la enseñanza de las Ciencias Naturales",Curso,2018
"Seminario ""Redes Digitales y Sociales""",Curso,2021
"Seminario ""Sarmiento. Civilización y barbarie""",Curso,2017
"Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""",Curso,2018
"Seminario ""Videojuegos en la Enseñanza de las Ciencias Sociales""",Curso,2018
"Seminario ""Videojuegos en la Enseñanza de Temas de Agenda Contemporánea""",Curso,2017
Seminario “Escuelas y Tecnologías. Leer pese a todo”,Curso,2017
Seminario de Formación Docente en Conducción y Gestión Educativa,Curso,2019
Seminario de Formación para Coordinadores ProA,Curso,2018
Seminario de formación para preceptores ProA,Curso,2018
Seminario de formación para profesores ProA,Curso,2018
Seminario de formación para secretarios/as Pro,Curso,2018
Seminario de Formación para Tutores,Curso,2016
Seminario de Lectura: Ante la escuela. Tres lecturas intempestivas,Curso,2017
