ifda_siglas,ifda,2016,2017,2018,2019,2020,2021,2022,2023
CARENA,Instituto Superior Dr. Carlos María Carena,2,23,73,169,130,125,80,90
CCASTRO,Conservatorio Superior de Música Juan José Castro,0,0,0,86,99,78,13,29
ENSAGULLA,Escuela Normal Superior Dr. Agustín Garzón Agulla,0,0,16,122,91,331,273,351
ENSCARBO,Escuela Normal Superior Dr. Alejandro Carbó,0,0,160,592,670,802,837,516
HOUSSAY,Instituto Superior Dr. Bernardo Houssay,4,22,62,100,181,109,73,89
IESCER,"Instituto de Educación Superior del Centro de la República ""Dr. Ángel Diego Márquez""",17,93,191,369,355,343,313,143
IESSB,Instituto de Enseñanza Superior Simón Bolívar,108,539,822,636,1390,1173,736,358
ISCAL,Instituto Superior Carlos Alberto Leguizamón,0,0,0,103,437,142,434,306
ISEP,Instituto Superior de Estudios Pedagógicos,538,1267,1103,94,252,354,262,0
ISPT,Instituto Superior del Profesorado Tecnológico,0,0,0,0,135,140,159,53
LEFEBVRE,Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye,0,13,73,100,136,98,37,64
SANMARTIN,Colegio Superior San Martín,5,38,90,179,211,143,66,115
URQUIZA,Escuela Normal Superior Justo José de Urquiza,19,115,154,298,440,217,149,134
