ifda,ifda_siglas
Instituto de Enseñanza Superior Simón Bolívar,IESSB
"Instituto de Educación Superior del Centro de la República ""Dr. Ángel Diego Márquez""",IESCER
Escuela Normal Superior Justo José de Urquiza,URQUIZA
Colegio Superior San Martín,SANMARTIN
Instituto Superior Dr. Bernardo Houssay,HOUSSAY
Instituto Superior Dr. Carlos María Carena,CARENA
Instituto Superior de Estudios Pedagógicos,ISEP
Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye,LEFEBVRE
Escuela Normal Superior Dr. Alejandro Carbó,ENSCARBO
Instituto Superior Carlos Alberto Leguizamón,ISCAL
Escuela Normal Superior Dr. Agustín Garzón Agulla,ENSAGULLA
Conservatorio Superior de Música Juan José Castro,CCASTRO
Instituto Superior del Profesorado Tecnológico,ISPT
Instituto Superior de Formacion Docente Reneé Trettel de Fabián,TRETTEL
Instituto Superior Ramón Menéndez Pidal,MPIDAL
