linea_formativa,anio,matricula_inicial_total,acumulado
Formación de directores y supervisores,2016,1382,1382
Formación de directores y supervisores,2017,1393,2775
Formación de directores y supervisores,2018,1144,3919
Formación de directores y supervisores,2019,1401,5320
Formación de directores y supervisores,2020,1280,6600
Formación de directores y supervisores,2021,1811,8411
Formación de directores y supervisores,2022,529,8940
Formación de directores y supervisores,2023,451,9391
Formación de docentes de las modalidades del sistema educativo,2017,321,321
Formación de docentes de las modalidades del sistema educativo,2018,0,321
Formación de docentes de las modalidades del sistema educativo,2019,77,398
Formación de docentes de las modalidades del sistema educativo,2020,0,398
Formación de docentes de las modalidades del sistema educativo,2021,467,865
Formación de docentes de las modalidades del sistema educativo,2022,375,1240
Formación de docentes de las modalidades del sistema educativo,2023,802,2042
Formación de docentes del nivel de educación inicial y primario,2017,181,181
Formación de docentes del nivel de educación inicial y primario,2018,247,428
Formación de docentes del nivel de educación inicial y primario,2019,151,579
Formación de docentes del nivel de educación inicial y primario,2020,134,713
Formación de docentes del nivel de educación inicial y primario,2021,759,1472
Formación de docentes del nivel de educación inicial y primario,2022,1182,2654
Formación de docentes del nivel de educación inicial y primario,2023,1389,4043
Formación de docentes del nivel de educación secundaria,2019,138,138
Formación de docentes del nivel de educación secundaria,2020,247,385
Formación de docentes del nivel de educación secundaria,2021,239,624
Formación de docentes del nivel de educación secundaria,2022,10,634
Formación de docentes del nivel de educación secundaria,2023,0,634
Formación de docentes del nivel de educación superior,2022,223,223
Formación de docentes en el área de medios y tecnologías,2016,110,110
Formación de docentes en el área de medios y tecnologías,2017,0,110
Formación de docentes en el área de medios y tecnologías,2018,223,333
Formación de docentes en el área de medios y tecnologías,2019,142,475
Formación de docentes en el área de medios y tecnologías,2020,1373,1848
Formación de docentes en el área de medios y tecnologías,2021,202,2050
Formación de docentes en el área de medios y tecnologías,2022,817,2867
Formación de docentes en el área de medios y tecnologías,2023,1470,4337
Formación de estudiantes de institutos de formación docente y docentes noveles,2017,271,271
Formación de estudiantes de institutos de formación docente y docentes noveles,2018,900,1171
Formación de estudiantes de institutos de formación docente y docentes noveles,2019,912,2083
Formación de estudiantes de institutos de formación docente y docentes noveles,2020,2169,4252
Formación de estudiantes de institutos de formación docente y docentes noveles,2021,1570,5822
Formación de estudiantes de institutos de formación docente y docentes noveles,2022,1569,7391
Formación de estudiantes de institutos de formación docente y docentes noveles,2023,1042,8433
Formación de profesores virtuales para propuestas del ISEP,2016,757,757
Formación de profesores virtuales para propuestas del ISEP,2017,2180,2937
Formación de profesores virtuales para propuestas del ISEP,2018,734,3671
Formación de profesores virtuales para propuestas del ISEP,2019,37,3708
Formación de profesores virtuales para propuestas del ISEP,2020,283,3991
Formación de profesores virtuales para propuestas del ISEP,2021,7,3998
Formación de profesores virtuales para propuestas del ISEP,2022,148,4146
Formación docente complementaria,2018,1203,1203
Formación docente complementaria,2019,423,1626
Formación docente complementaria,2020,0,1626
Formación docente complementaria,2021,713,2339
Formación docente complementaria,2022,491,2830
Formación docente complementaria,2023,380,3210
Formación para docentes de todos los niveles del sistema educativo,2016,396,396
Formación para docentes de todos los niveles del sistema educativo,2017,397,793
Formación para docentes de todos los niveles del sistema educativo,2018,1422,2215
Formación para docentes de todos los niveles del sistema educativo,2019,209,2424
Formación para docentes de todos los niveles del sistema educativo,2020,254,2678
Formación para docentes de todos los niveles del sistema educativo,2021,547,3225
Formación para docentes de todos los niveles del sistema educativo,2022,827,4052
Formación para docentes de todos los niveles del sistema educativo,2023,922,4974
Nuevos lugares docentes: desafíos para acompañar la enseñanza,2018,39,39
Nuevos lugares docentes: desafíos para acompañar la enseñanza,2019,63,102
Nuevos lugares docentes: desafíos para acompañar la enseñanza,2023,60,162
