tipo,anio,matricula_inicial_total
Curso,2016,1153
Curso,2017,3022
Curso,2018,3166
Curso,2019,2519
Curso,2020,4542
Curso,2021,4740
Curso,2022,4777
Curso,2023,5289
Formación académica,2018,517
Formación académica,2019,271
Formación académica,2020,205
Formación académica,2021,90
Formación académica,2022,31
Formación académica,2023,0
Postítulo,2016,1492
Postítulo,2017,1721
Postítulo,2018,1543
Postítulo,2019,579
Postítulo,2020,993
Postítulo,2021,1004
Postítulo,2022,1388
Postítulo,2023,1336
Profesorado,2018,686
Profesorado,2019,184
Profesorado,2020,0
Profesorado,2021,481
Profesorado,2022,0
Profesorado,2023,0
